Date,Open,High,Low,Close,Adj Close,Volume
2023-11-13,189.98,190.43,187.45,188.01,187.662888,46335100
2023-11-14,187.68,188.60,186.30,187.44,187.093262,41763200
2023-11-15,187.49,188.67,186.47,187.86,187.513489,38339000
2023-11-16,187.80,189.15,187.44,189.71,189.362976,40277400
2023-11-17,190.15,190.57,189.23,189.69,189.343002,40526700
2023-11-20,189.90,191.04,189.25,191.45,191.099670,32212500
2023-11-21,191.15,191.91,190.31,191.31,190.960312,27514200
2023-11-22,191.35,191.54,190.32,191.31,190.960312,27555500
2023-11-24,190.87,191.56,189.92,189.97,189.620331,22142300
2023-11-27,189.92,190.34,188.30,189.79,189.443207,39386000
2023-11-28,190.21,191.69,189.94,190.40,190.051376,35659900
2023-11-29,191.29,191.56,189.98,190.40,190.051376,34959900
2023-11-30,190.48,194.45,190.05,192.32,191.968719,64083700
2023-12-01,193.11,194.99,192.97,194.69,194.334122,45731200
2023-12-04,195.00,195.41,193.70,193.18,192.829330,57353000
2023-12-05,193.08,194.45,192.11,193.42,193.068817,58181400
2023-12-06,194.45,194.76,192.47,194.22,193.859451,41078800
2023-12-07,194.33,195.00,193.54,194.27,193.909378,42504800
2023-12-08,194.20,195.48,193.67,195.71,195.348984,45980000
